moves,x,y,players
58,3,2,7
58,6,5,2
59,5,5,198
59,4,6,110
59,6,4,107
59,7,7,62
59,5,1,55
59,6,6,51
59,7,3,34
59,2,2,26
59,5,3,16
59,6,0,16
59,3,7,10
59,2,6,9
59,0,4,9
59,7,5,6
59,0,6,5
59,6,2,5
59,1,5,4
59,3,3,2
59,4,2,1
60,6,7,164
60,3,4,84
60,7,6,78
60,1,4,73
60,7,2,50
60,2,7,49
60,4,3,40
60,0,7,39
60,5,2,36
60,5,0,34
60,6,1,26
60,6,3,24
60,4,1,23
60,7,4,16
60,1,6,10
60,3,2,4
60,5,4,3
60,6,5,2
60,0,5,2
60,0,3,2
61,5,5,153
61,4,6,91
61,6,4,52
61,7,7,39
61,6,6,35
61,5,1,33
61,7,3,17
61,6,0,15
61,1,5,11
61,2,2,10
61,5,3,9
61,3,7,5
61,4,4,4
61,2,6,3
61,6,2,2
61,0,6,1
61,7,5,1
62,6,7,83
62,3,4,70
62,7,6,52
62,2,7,48
62,7,2,32
62,1,4,28
62,5,2,21
62,0,7,20
62,4,1,17
62,6,3,15
62,4,3,15
62,5,0,14
62,7,4,6
62,6,1,4
62,1,6,3
62,6,5,1
62,3,2,1
62,0,5,1
63,4,6,104
63,5,5,104
63,7,7,31
63,6,6,29
63,6,4,23
63,6,0,9
63,1,5,9
63,3,7,8
63,5,1,8
63,2,2,8
63,2,6,7
63,7,5,4
63,6,2,3
63,7,3,3
63,4,4,2
63,1,7,1
63,5,3,1
63,0,4,1
64,6,7,50
64,7,6,36
64,3,4,35
64,2,7,34
64,1,4,20
64,0,7,19
64,7,2,10
64,5,2,8
64,4,1,7
64,4,3,7
64,5,0,5
64,6,3,4
64,1,6,4
64,6,1,3
64,3,2,3
64,7,4,3
64,6,5,3
64,0,3,3
64,0,5,1
65,4,6,108
65,5,5,59
65,6,6,13
65,7,7,12
65,5,1,9
65,1,5,7
65,6,4,7
65,3,7,6
65,2,6,6
65,7,5,4
65,2,2,4
65,6,0,2
65,7,3,2
65,0,6,2
65,5,3,2
65,4,4,1
65,0,4,1
66,2,7,42
66,6,7,24
66,3,4,22
66,0,7,20
66,7,6,10
66,1,4,10
66,7,2,6
66,4,1,3
66,6,1,3
66,1,6,3
66,6,5,3
66,5,0,1
66,6,3,1
66,5,2,1
66,3,2,1
67,4,6,80
67,5,5,39
67,7,7,16
67,6,6,12
67,5,1,9
67,1,5,8
67,2,6,8
67,6,4,7
67,3,7,4
67,6,0,3
67,0,6,2
67,2,2,2
67,7,5,2
67,7,3,1
67,4,4,1
68,2,7,38
68,0,7,22
68,7,6,11
68,3,4,10
68,1,4,10
68,4,1,7
68,6,7,5
68,1,6,3
68,6,3,3
68,5,0,3
68,5,2,3
68,0,5,1
68,7,4,1
68,4,3,1
69,4,6,62
69,5,5,30
69,7,7,23
69,6,6,10
69,2,6,7
69,3,7,5
69,5,1,4
69,7,5,3
69,2,2,2
69,0,4,1
69,6,2,1
69,7,3,1
69,6,0,1
69,1,5,1
69,6,4,1
69,1,7,1
70,2,7,22
70,0,7,13
70,7,2,5
70,3,4,5
70,1,4,4
70,7,6,3
70,4,1,2
70,5,2,1
70,6,7,1
70,5,0,1
70,1,6,1
70,4,3,1
70,6,1,1
71,4,6,56
71,5,5,20
71,7,7,10
71,3,7,10
71,6,6,7
71,6,4,4
71,2,6,3
71,2,2,2
71,4,4,1
71,0,6,1
71,1,5,1
71,7,5,1
72,2,7,8
72,0,7,8
72,3,4,4
72,6,7,4
72,7,6,4
72,1,4,3
72,5,0,3
72,4,1,2
72,1,6,1
72,6,1,1
73,4,6,23
73,5,5,9
73,6,6,9
73,7,7,7
73,3,7,5
73,6,0,3
73,2,6,3
73,5,3,1
73,1,5,1
73,5,1,1
73,2,2,1
74,2,7,8
74,6,7,6
74,7,6,3
74,7,2,3
74,0,7,2
74,3,4,2
74,4,1,1
74,7,4,1
74,1,4,1
75,4,6,18
75,5,5,18
75,3,7,11
75,6,6,10
75,7,7,3
75,2,2,2
75,4,4,1
75,6,0,1
75,6,4,1
75,2,6,1
75,0,4,1
76,2,7,4
76,6,7,4
76,3,4,3
76,7,6,3
76,4,1,2
76,5,2,1
76,6,1,1
76,5,0,1
76,1,6,1
76,0,7,1
77,5,5,12
77,4,6,10
77,7,7,6
77,3,7,4
77,6,6,4
77,7,3,1
77,1,5,1
77,0,6,1
77,6,0,1
77,7,5,1
77,2,6,1
78,0,7,3
78,4,1,3
78,6,7,3
78,3,4,2
78,7,6,2
78,1,4,1
78,2,7,1
79,4,6,12
79,5,5,6
79,3,7,5
79,6,6,3
79,7,7,3
79,6,4,1
79,2,6,1
79,5,1,1
80,7,6,4
80,3,4,3
80,4,1,3
80,2,7,1
81,5,5,8
81,3,7,4
81,4,6,2
81,6,6,1
81,5,1,1
81,6,4,1
82,7,6,2
82,3,4,2
82,4,1,2
82,0,7,1
82,7,2,1
82,6,7,1
82,5,2,1
83,5,5,6
83,4,6,5
83,3,7,2
83,7,7,2
83,5,1,1
84,4,1,4
85,5,5,3
85,4,6,2
85,3,7,1
86,1,4,1
86,7,2,1
87,4,6,4
87,5,5,2
87,3,7,1
87,7,7,1
88,7,6,2
88,6,7,1
89,4,6,3
89,5,5,2
89,0,6,1
90,6,7,2
90,0,7,1
91,3,7,1
91,4,6,1
92,7,6,1
92,3,4,1
92,7,2,1
92,4,1,1
93,5,5,2
93,3,7,1
93,4,6,1
94,6,7,2
94,7,6,1
95,4,6,1
96,3,4,1
98,1,4,1
99,3,7,1
100,3,4,1
101,5,5,1
102,4,1,1
105,4,6,1
109,4,6,2
112,5,2,1
123,5,5,1
123,1,5,1
